Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link
1,USA,W. BUSH,,Mexico,San Cristobal,16.2.2001,16.2.2001,Meeting with President Fox.,,,
2,USA,W. BUSH,,Canada,Quebec,20.4.2001,22.4.2001,Attended the Summit of the Americas.,,,
3,USA,W. BUSH,,Spain,Madrid,12.6.2001,13.6.2001,Met with King Juan Carlos I and President Aznar.,,,
4,USA,W. BUSH,,Belgium,Brussels,13.6.2001,14.6.2001,Attended NATO Summit Meeting.,,,
5,USA,W. BUSH,,Sweden,Goteborg,14.6.2001,15.6.2001,Attended U.S.-European Union Summit Meeting; met with King Carl XVI Gustav.,,,
6,USA,W. BUSH,,Poland,Warsaw,15.6.2001,16.6.2001,State visit.,,,
7,USA,W. BUSH,,Slovenia,Kranj,16.6.2001,16.6.2001,Met with Prime Minister Drnovsek and Russian President Putin.,,,
8,USA,W. BUSH,,United Kingdom,"London, Chequers, Halton, Brize Norton",18.7.2001,20.7.2001,Met with Prime Minister Blain and Queen Elizabeth II.,,,
9,USA,W. BUSH,,Italy,"Genoa, Castel Gandolfo, Rome",20.7.2001,24.7.2001,"Attended the G-8 Economic Summit. Met with Pope John Paul II at Castel 
Gandolfo and with Prime Minister Berlusconi and President Ciampi in Rome.",,,
10,USA,W. BUSH,,Kosovo,Camp Bondsteel,24.7.2001,24.7.2001,Addressed U.S. military personnel.,,,
11,USA,W. BUSH,,China,Shanghai,18.10.2001,21.10.2001,Attended the APEC Summit Meeting.,,,
12,USA,W. BUSH,,Japan,Tokyo,17.2.2002,19.2.2002,Met with Prime Minister Koizumi and Emperor Akihito. Addressed the Diet.,,,
13,USA,W. BUSH,,South Korea,"Seoul, Dorasan, Osan",19.2.2002,21.2.2002,"Met with President Kin Dae-Jung, visited the Demilitarized Zone, addressed 
U.S. military personnel.",,,
14,USA,W. BUSH,,China,Beijing,21.2.2002,22.2.2002,Met with President Jiang and Premier Zhu.,,,
15,USA,W. BUSH,,Mexico,Monterrey,21.3.2002,22.3.2002,"Attended the International Conference on Financing for Development and met 
with President Fox.",,,
16,USA,W. BUSH,,Peru,Lima,23.3.2002,24.3.2002,"Met with the Presidents of Peru, Colombia, and Bolivia, and with the Vice 
President of Ecuador.",,,
17,USA,W. BUSH,,El Salvador,San Salvador,24.3.2002,24.3.2002,Attended a summit meeting with Central American heads of state.,,,
18,USA,W. BUSH,,Germany,Berlin,22.5.2002,23.5.2002,Met with Chancellor Schroeder and addressed the Bundestag.,,,
19,USA,W. BUSH,,Russia,"Moscow, St. Petersburg",23.5.2002,26.5.2002,Summit meeting with President Putin. Signed strategic arms reduction treaty.,,,
20,USA,W. BUSH,,France,"Paris, St. Mere- Eglise, Colleville",26.5.2002,27.5.2002,Met with President Chirac and delivered a Memorial Day address in Normandy.,,,
21,USA,W. BUSH,,Italy,Rome,27.5.2002,28.5.2002,"Met with President Ciampi and Prime Minister Berlusconi. Attended NATO 
Summit Meeting and inaugurated the NATO-Russia Council.",,,
22,USA,W. BUSH,,Vatican City,,28.5.2002,28.5.2002,Audience with Pope John Paul II.,,,
23,USA,W. BUSH,,Canada,Kananaskis (Alberta),25.6.2002,27.6.2002,Attended the G-8 Economic Summit.,,,
24,USA,W. BUSH,,Mexico,Los Cabos,26.10.2002,27.10.2002,Attended APEC Summit Meeting.,,,
25,USA,W. BUSH,,Czechia,Prague,19.11.2002,22.11.2002,Attended NATO and EAPC Summit Meetings.,,,
26,USA,W. BUSH,,Russia,St. Petersburg,22.11.2002,22.11.2002,Met with President Putin.,,,
27,USA,W. BUSH,,Lithuania,Vilnius,22.11.2002,23.11.2002,Met with the Presidents of the Baltic States.,,,
28,USA,W. BUSH,,Romania,Bucharest,23.11.2002,23.11.2002,Met with President Iliescu.,,,
