name,Overall Score,Rank_democracy,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,status
Norway,9.87,1,10,9.64,10,10,9.71,Full democracy
Iceland,9.58,2,10,9.29,8.89,10,9.71,Full democracy
Sweden,9.39,3,9.58,9.64,8.33,10,9.41,Full democracy
New Zealand,9.26,4,10,9.29,8.89,8.13,10,Full democracy
Finland,9.25,5,10,8.93,8.89,8.75,9.71,Full democracy
Ireland,9.24,6,10,7.86,8.33,10,10,Full democracy
Denmark,9.22,7,10,9.29,8.33,9.38,9.12,Full democracy
Canada,9.22,7,9.58,9.64,7.78,9.38,9.71,Full democracy
Australia,9.09,9,10,8.93,7.78,8.75,10,Full democracy
Switzerland,9.03,10,9.58,9.29,7.78,9.38,9.12,Full democracy
Netherlands,9.01,11,9.58,9.29,8.33,8.75,9.12,Full democracy
Luxembourg,8.81,12,10,8.93,6.67,8.75,9.71,Full democracy
Germany,8.68,13,9.58,8.57,8.33,7.5,9.41,Full democracy
United Kingdom,8.52,14,9.58,7.5,8.89,7.5,9.12,Full democracy
Uruguay,8.38,15,10,8.57,6.11,7.5,9.71,Full democracy
Austria,8.29,16,9.58,7.86,8.33,6.88,8.82,Full democracy
Spain,8.29,16,9.58,7.14,7.78,8.13,8.82,Full democracy
Mauritius,8.22,18,9.17,8.21,5.56,8.75,9.41,Full democracy
Costa Rica,8.13,19,9.58,7.5,6.67,7.5,9.41,Full democracy
France,8.12,20,9.58,7.86,7.78,6.88,8.53,Full democracy
Chile,8.08,21,9.58,8.57,5,8.13,9.12,Full democracy
Portugal,8.03,22,9.58,7.86,6.11,7.5,9.12,Full democracy
South Korea,8,23,9.17,7.86,7.22,7.5,8.24,Flawed democracy
Japan,7.99,24,8.75,8.21,6.67,7.5,8.82,Flawed democracy
United States of America,7.96,25,9.17,7.14,7.78,7.5,8.24,Flawed democracy
Malta,7.95,26,9.17,7.5,6.11,8.13,8.82,Flawed democracy
Estonia,7.9,27,9.58,7.86,6.67,6.88,8.53,Flawed democracy
Israel,7.86,28,9.17,7.86,8.89,7.5,5.88,Flawed democracy
Botswana,7.81,29,9.17,7.14,6.11,7.5,9.12,Flawed democracy
Cap Verde,7.78,30,9.17,7.36,6.67,6.88,8.82,Flawed democracy
Taiwan,7.73,31,9.58,8.21,6.11,5.63,9.12,Flawed democracy
Czech Republic,7.69,32,9.58,6.79,6.67,6.88,8.53,Flawed democracy
Belgium,7.64,33,9.58,8.21,5,6.88,8.53,Flawed democracy
Cyprus,7.59,34,9.17,6.43,6.67,6.88,8.82,Flawed democracy
Italy,7.52,35,9.58,6.07,7.78,6.25,7.94,Flawed democracy
Slovenia,7.5,36,9.58,6.79,6.67,6.25,8.24,Flawed democracy
Lithuania,7.5,36,9.58,6.43,6.11,6.25,9.12,Flawed democracy
Latvia,7.49,38,9.58,6.07,6.11,6.88,8.82,Flawed democracy
Greece,7.43,39,9.58,4.86,6.67,7.5,8.53,Flawed democracy
South Africa,7.24,40,7.42,7.5,8.33,5,7.94,Flawed democracy
Timor-Leste,7.19,41,9.58,6.29,5.56,6.88,7.65,Flawed democracy
Slovakia,7.17,42,9.58,7.14,5.56,5.63,7.94,Flawed democracy
Malaysia,7.16,43,9.17,7.86,6.67,6.25,5.88,Flawed democracy
Trinidad and Tobago,7.16,43,9.58,7.14,6.11,5.63,7.35,Flawed democracy
Colombia,7.13,45,9.17,6.79,5.56,5.63,8.53,Flawed democracy
Panama,7.05,46,9.58,6.07,6.67,5,7.94,Flawed democracy
Bulgaria,7.03,47,9.17,6.43,7.22,4.38,7.94,Flawed democracy
Argentina,7.02,48,9.17,5.36,6.11,6.25,8.24,Flawed democracy
Suriname,6.98,49,9.17,6.43,6.67,5,7.65,Flawed democracy
Jamaica,6.96,50,8.75,7.14,4.44,6.25,8.24,Flawed democracy
India,6.9,51,8.67,6.79,6.67,5.63,6.76,Flawed democracy
Brazil,6.86,52,9.58,5.36,6.11,5,8.24,Flawed democracy
Tunisia,6.72,53,9.17,5.71,7.22,5.63,5.88,Flawed democracy
Philippines,6.64,54,9.17,5.36,7.22,4.38,7.06,Flawed democracy
Ghana,6.63,55,8.33,5.71,6.67,6.25,6.18,Flawed democracy
Hungary,6.63,55,8.75,6.07,5,6.25,7.06,Flawed democracy
Poland,6.62,57,9.17,6.07,6.11,4.38,7.35,Flawed democracy
Peru,6.6,58,9.17,5,5.56,5.63,7.65,Flawed democracy
Croatia,6.57,59,9.17,6.07,5.56,5,7.06,Flawed democracy
Dominican Republic,6.54,60,9.17,5.36,6.11,5,7.06,Flawed democracy
Lesotho,6.54,60,9.17,4.5,6.67,5.63,6.76,Flawed democracy
Mongolia,6.5,62,9.17,5.71,5.56,5,7.06,Flawed democracy
Romania,6.49,63,9.17,5.71,5.56,4.38,7.65,Flawed democracy
Indonesia,6.48,64,7.92,7.14,6.11,5.63,5.59,Flawed democracy
Namibia,6.43,65,6.58,5.36,6.67,5.63,7.94,Flawed democracy
Serbia,6.41,66,8.25,5.36,6.11,5,7.35,Flawed democracy
Ecuador,6.33,67,8.75,5.36,6.11,4.38,7.06,Flawed democracy
Thailand,6.32,68,7.42,5.36,6.11,6.25,6.47,Flawed democracy
Sri Lanka,6.27,69,7,6.07,5.56,6.25,6.47,Flawed democracy
Paraguay,6.24,70,8.75,5.71,5,4.38,7.35,Flawed democracy
El Salvador,6.15,71,9.17,4.64,6.11,3.75,7.06,Flawed democracy
Guyana,6.15,71,6.92,5.36,6.11,5,7.35,Flawed democracy
Mexico,6.09,73,7.83,6.07,7.22,3.13,6.18,Flawed democracy
Papua New Guinea,6.03,74,6.92,6.07,3.89,5.63,7.65,Flawed democracy
Hong Kong,6.02,75,3.58,4.36,6.11,7.5,8.53,Flawed democracy
Singapore,6.02,75,3.92,7.86,5,6.25,7.06,Flawed democracy
North Macedonia,5.97,77,7,5.36,6.67,3.75,7.06,Hybrid regime
Ukraine,5.9,78,7.42,2.71,6.67,6.25,6.47,Hybrid regime
Albania,5.89,79,7,5.36,4.44,5,7.65,Hybrid regime
Bangladesh,5.88,80,7.83,6.07,6.11,4.38,5,Hybrid regime
Fiji,5.85,81,6.58,5.36,6.11,5.63,5.59,Hybrid regime
Senegal,5.81,82,6.08,6.07,4.44,6.25,6.18,Hybrid regime
Moldova,5.75,83,6.58,4.64,6.11,4.38,7.06,Hybrid regime
Montenegro,5.65,84,5.67,5.36,6.11,4.38,6.76,Hybrid regime
Madagascar,5.64,85,7.92,3.57,6.11,5.63,5,Hybrid regime
Armenia,5.54,86,7.5,5.36,6.11,3.13,5.59,Hybrid regime
Malawi,5.5,87,6.08,4.29,5,6.25,5.88,Hybrid regime
Liberia,5.45,88,7.42,3.07,5.56,5.63,5.59,Hybrid regime
Georgia,5.42,89,7.83,3.21,6.11,4.38,5.59,Hybrid regime
Honduras,5.42,89,7.83,4.29,4.44,4.38,6.18,Hybrid regime
Bhutan,5.3,91,8.75,6.79,2.78,4.38,3.82,Hybrid regime
Nepal,5.28,92,4.83,5.36,5,5.63,5.59,Hybrid regime
Guatemala,5.26,93,6.92,4.64,3.89,4.38,6.47,Hybrid regime
Kenya,5.18,94,3.5,5.71,6.67,5.63,4.41,Hybrid regime
Tanzania,5.16,95,5.75,5,5,5.63,4.41,Hybrid regime
Morocco,5.1,96,5.25,4.64,5.56,5.63,4.41,Hybrid regime
Benin,5.09,97,4.67,5.71,4.44,5.63,5,Hybrid regime
Zambia,5.09,97,4.75,2.93,4.44,6.88,6.47,Hybrid regime
Uganda,5.02,99,4.33,3.57,4.44,6.88,5.88,Hybrid regime
Mali,4.92,100,6.42,3.07,3.89,5.63,5.59,Hybrid regime
Kyrgyz Republic,4.89,101,6.08,2.93,6.67,3.75,5,Hybrid regime
Bosnia and Herz.,4.86,102,6.17,2.93,5.56,3.75,5.88,Hybrid regime
Sierra Leone,4.86,102,6.58,2.86,3.33,6.25,5.29,Hybrid regime
Bolivia,4.84,104,4.75,3.93,5,3.75,6.76,Hybrid regime
Haiti,4.57,105,4.75,2.07,3.89,6.25,5.88,Hybrid regime
Lebanon,4.36,106,3.92,1.5,6.67,5,4.71,Hybrid regime
Gambia,4.33,107,4,4.29,3.33,5.63,4.41,Hybrid regime
Pakistan,4.25,108,6.08,5.71,2.22,2.5,4.71,Hybrid regime
Nigeria,4.12,109,5.17,3.93,3.33,3.75,4.41,Hybrid regime
Turkey,4.09,110,3.08,5,5,5,2.35,Hybrid regime
Côte d’Ivoire,4.05,111,4.33,2.86,3.33,5.63,4.12,Hybrid regime
Burkina Faso,4.04,112,3.92,2.71,4.44,5,4.12,Hybrid regime
Algeria,4.01,113,3.08,2.86,5,5,4.12,Hybrid regime
Jordan,3.93,114,3.58,4.29,3.89,4.38,3.53,Authoritarian regime
Kuwait,3.93,114,3.58,4.29,3.89,4.38,3.53,Authoritarian regime
Mauritania,3.92,116,3.5,3.57,5,3.13,4.41,Authoritarian regime
Palestine,3.89,117,3.33,0.14,7.78,4.38,3.82,Authoritarian regime
Iraq,3.74,118,5.25,0,6.67,5,1.76,Authoritarian regime
Angola,3.72,119,2.25,2.86,5.56,5,2.94,Authoritarian regime
Mozambique,3.65,120,2.58,2.14,5,5,3.53,Authoritarian regime
Gabon,3.61,121,2.58,2.21,4.44,5,3.82,Authoritarian regime
Myanmar,3.55,122,3.08,3.93,2.78,5.63,2.35,Authoritarian regime
Nicaragua,3.55,122,1.25,2.86,3.89,5.63,4.12,Authoritarian regime
Cambodia,3.53,124,0.83,4.64,3.33,5.63,3.24,Authoritarian regime
Ethiopia,3.44,125,0.42,3.57,5.56,5,2.65,Authoritarian regime
Togo,3.3,126,3.17,1.79,3.33,5,3.24,Authoritarian regime
Niger,3.29,127,2.92,1.14,3.33,4.38,4.71,Authoritarian regime
Qatar,3.19,128,0,4.29,2.22,5.63,3.82,Authoritarian regime
Rwanda,3.16,129,1.42,4.29,2.78,4.38,2.94,Authoritarian regime
Zimbabwe,3.16,129,0,2.5,4.44,5.63,3.24,Authoritarian regime
Comoros,3.15,131,2.08,2.21,3.89,3.75,3.82,Authoritarian regime
eSwatini,3.14,132,0.92,2.86,2.78,5.63,3.53,Authoritarian regime
Guinea,3.14,132,3.5,0.43,4.44,4.38,2.94,Authoritarian regime
Congo ,3.11,134,2.17,2.5,3.89,3.75,3.24,Authoritarian regime
Russia,3.11,134,2.17,1.79,5,2.5,4.12,Authoritarian regime
Vietnam,3.08,136,0,3.21,3.89,5.63,2.65,Authoritarian regime
Egypt,3.06,137,2.67,3.21,3.33,3.75,2.35,Authoritarian regime
Oman,3.06,137,0.08,3.93,2.78,4.38,4.12,Authoritarian regime
Kazakhstan,2.94,139,0.5,2.14,4.44,4.38,3.24,Authoritarian regime
Venezuela,2.88,140,0,1.79,5,4.38,3.24,Authoritarian regime
Afghanistan,2.85,141,3.42,0.64,3.89,2.5,3.82,Authoritarian regime
Cameroon,2.85,141,1.67,2.5,3.33,4.38,2.35,Authoritarian regime
Cuba,2.84,143,0,3.57,3.33,4.38,2.94,Authoritarian regime
Djibouti,2.77,144,0.42,1.29,3.89,5.63,2.65,Authoritarian regime
United Arab Emirates,2.76,145,0,3.93,2.22,5,2.65,Authoritarian regime
Azerbaijan,2.75,146,0.5,3.21,2.78,3.75,3.53,Authoritarian regime
Sudan,2.7,147,0,1.79,5.56,5,1.18,Authoritarian regime
Guinea-Bissau,2.63,148,4.92,0,2.78,3.13,2.35,Authoritarian regime
Bahrain,2.55,149,0.83,2.71,2.78,4.38,2.06,Authoritarian regime
Belarus,2.48,150,0.92,2,2.78,4.38,2.35,Authoritarian regime
Iran,2.38,151,0,2.86,4.44,3.13,1.47,Authoritarian regime
Eritrea,2.37,152,0,2.14,1.67,6.88,1.18,Authoritarian regime
China,2.26,153,0,4.29,3.33,2.5,1.18,Authoritarian regime
Burundi,2.15,154,0,0.07,3.33,5,2.35,Authoritarian regime
Laos,2.14,155,0,2.86,1.67,5,1.18,Authoritarian regime
Libya,2.02,156,0,0,2.78,4.38,2.94,Authoritarian regime
Uzbekistan,2.01,157,0.08,1.86,2.22,5,0.88,Authoritarian regime
Yemen,1.95,158,0,0,3.89,5,0.88,Authoritarian regime
Saudi Arabia,1.93,159,0,2.86,2.22,3.13,1.47,Authoritarian regime
Tajikistan,1.93,159,0.08,0.79,1.67,6.25,0.88,Authoritarian regime
Equatorial Guinea,1.92,161,0,0.43,3.33,4.38,1.47,Authoritarian regime
Turkmenistan,1.72,162,0,0.79,2.22,5,0.59,Authoritarian regime
Chad,1.61,163,0,0,1.67,3.75,2.65,Authoritarian regime
Syria,1.43,164,0,0,2.78,4.38,0,Authoritarian regime
Central African Rep.,1.32,165,1.25,0,1.11,1.88,2.35,Authoritarian regime
Democratic Republic of Congo,1.13,166,0,0,1.67,3.13,0.88,Authoritarian regime
North Korea,1.08,167,0,2.5,1.67,1.25,0,Authoritarian regime
