,Unnamed: 0,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
0,0,920938,Oceania,Fiji,FJI,8374,809,China,Xi Jinping,,Fiji,Nadi,21.11.2014,23.11.2014,"China sees Fiji as friend, partner in Pacific island region: Xi, Chinese president pledges continued assistance to Fiji, China, Pacific island countries announce strategic partnership, Chinese president concludes visit to Fiji","Xi Jinping, Epeli Nailatikau, Xi Jinping, Josaia Voreqe Bainimarama, Xi Jinping",http://news.xinhuanet.com/english/china/2014-11/23/c_133807773.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=21177,2014
1,1,53950935,Africa,Tanzania,TZA,150600,117,USA,W. BUSH,,Tanzania,"Dar es Salaam, Arusha",16.2.2008,19.2.2008,"Met with President Kikwete, signed Millennium Challenge agreement.",,,,2008
2,1,53950935,Africa,Tanzania,TZA,150600,201,USA,OBAMA,,Tanzania,Dar es Salaam,7.1.2013,7.2.2013,"Met with President Jakaya Kikwete. Laid a wreath at the memorial to the 
1998 Embassy bombing.",,,,2013
3,1,53950935,Africa,Tanzania,TZA,150600,842,China,Xi Jinping,,Tanzania,Dares Salaam,24.3.2013,25.3.2013,"Xi Jinping on state visit meets with president of #Tanzania, President Xi meets with #Zanzibar's president #China, Xi Jinping speaks on #Africa policy, pledges assistance, #China, #Tanzania issue joint communique on boosting friendly cooperation","Xi Jinping, Jakaya Mrisho Kikwete, Xi Jinping, Ali Mohamed Shein, Xi Jinping, Jakaya Mrisho Kikwete, Xi Jinping, Jakaya Mrisho Kikwete",http://news.xinhuanet.com/english/china/2013-03/25/c_132260936.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=16742,2013
4,1,53950935,Africa,Tanzania,TZA,150600,880,China,Hu Jintao,,Tanzania,Dares Salaam,15.2.2009,15.2.2009,Hu Jintao met with Tanzanian President Jakaya Mrisho Kikwete and Zanzibar President Amani Abeid Karume.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Jakaya Mrisho Kikwete, Amani Abeid Karume",http://news.xinhuanet.com/english/2009-02/15/content_10822709.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7258,2009
8,3,35623680,North America,Canada,CAN,1674000,58,USA,W. BUSH,,Canada,"Ottawa, Gatineau, Halifax",30.11.2004,12.1.2004,Met with Prime Minister Martin.,,,,2004
9,3,35623680,North America,Canada,CAN,1674000,106,USA,W. BUSH,,Canada,"Montebello, Quebec",20.8.2007,21.8.2007,"Attended North American Leadersâ Summit with Mexican President Calderon and 
Canadian Prime Minister Harper.",,,,2007
10,3,35623680,North America,Canada,CAN,1674000,141,USA,OBAMA,,Canada,Ottawa,19.2.2009,19.2.2009,Met with Prime Minister Harper.,,,,2009
12,3,35623680,North America,Canada,CAN,1674000,251,USA,OBAMA,,Canada,Ottawa,29.6.2016,29.6.2016,Attended the North American Leaders Summit.,,,,2016
13,3,35623680,North America,Canada,CAN,1674000,277,USA,TRUMP,,Canada,Charlevoix,6.9.2018,6.9.2018,Attended the Gâ7 meetings.,,,,2018
14,3,35623680,North America,Canada,CAN,1674000,489,Russia,Dmitry Medvedev,,Canada,,27.6.2010,,Meeting with President of the China Hu Jintao,,,http://en.kremlin.ru/events/president/trips/8183,2010
18,3,35623680,North America,Canada,CAN,1674000,927,China,Hu Jintao,,Canada,Vancouver,16.9.2005,17.9.2005,"Hu Jintao met with Premier of British Columbia Gordon Campbell., Hu Jintao met with Canadian Prime Minister Paul Martin.","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Gordon Campbell, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Paul Martin",,http://www.chinavitae.com//vip/index.php?mode=show&id=4102,2005
19,3,35623680,North America,Canada,CAN,1674000,930,China,Hu Jintao,,Canada,Toronto,9.8.2005,9.10.2005,"Hu Jintao made remarks at the welcoming ceremony held by Canadian Governor General Adrienne Clarkson at Ridea Hall., Hu Jintao met with some members of the Senate and the House of Commons of Canada. 
, Hu Jintao held talks with Canadian Prime Minister Paul Martin on building a strategic partnership., Hu Jintao met with former Canadian Prime Minister Jean Chretien., Hu Jintao made remarks at a dinner of the China-Canada Trade and Economic Cooperation Forum. 
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Adrienne Clarkson, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Paul Martin, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Jean Chretien, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan",,http://www.chinavitae.com//vip/index.php?mode=show&id=4070,2005
21,4,326625791,North America,United States of America,USA,18560000,451,Russia,Dmitry Medvedev,,United States of America,,11.12.2011,,Meeting with President of Peru Ollanta Humala,,,http://en.kremlin.ru/events/president/trips/13515,2011
22,4,326625791,North America,United States of America,USA,18560000,491,Russia,Dmitry Medvedev,,United States of America,,18.6.2010,,Interview to the Wall Street Journal,,,http://en.kremlin.ru/events/president/trips/8166,2010
23,4,326625791,North America,United States of America,USA,18560000,503,Russia,Dmitry Medvedev,,United States of America,,13.4.2010,,Dmitry Medvedev met with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/7457,2010
