,Case,CC3,Country,Year,Banking Crisis ,Banking_Crisis_Notes,Systemic Crisis,Gold Standard,exch_usd,exch_usd_alt1,exch_usd_alt2,exch_usd_alt3,conversion_notes,national currency,exch_primary source code,exch_sources,Domestic_Debt_In_Default,Domestic_Debt_ Notes/Sources,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",Defaults_External_Notes,GDP_Weighted_default,<,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises,Unnamed: 0,Unnamed: 0.1,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
3,1,DZA,Algeria,2004,0.0,,0.0,0.0,72.6137,72.6137,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1830-1877-French coins, 1878-1964-Alegrian franc, 1964-present-dinar.",AAXRXDE.,Primary source is GFD-IFS official end-of-period exchange rate; alt1 series is IFS end-of-period exchange rate; alt2 series is pick's parallel end-of-period exchange rate; ,0.0,,0,0.0,,0,,4.0,1,0,0.0,355.0,82.0,40969443.0,Africa,Algeria,DZA,609400.0,949.0,China,Hu Jintao,,Algeria,Algiers,2004-02-03,2004-02-04,"Hu Jintao attended a banquet hosted by Algerian President Abdelaziz Bouteflika., Hu Jintao held talks with Algerian President Abdelaziz Bouteflika., Hu Jintao met with Algerian Prime Minister Ahmed Ouyahia., Hu Jintao met with Speaker of the Algerian National Assembly Karim Younes., Hu Jintao met with Abdelkader Bensalah, president of the Algerian Council of the Nation.","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Abdelaziz Bouteflika, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Abdelaziz Bouteflika, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Ahmed Ouyahia, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Karim Younes, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Abdelkader Bensalah",,http://www.chinavitae.com//vip/index.php?mode=show&id=1510,2004.0
32,3,ARG,Argentina,2001,1.0,,1.0,0.0,0.999,0.9995,,1,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Peso: 18th century-present, several ""types"" of pesos--peso fuerte, peso austral, etc.",AGXRXDE.,"Primary source is RR-GFD-IFS conversion labeled as official, but this is a market rate eop; alt1 series is IMF official average exchange rate; alt2 series is Pick's-RR official eop exchange rate; alt3 series is Pick's & Blue dollar parallel end-of-period exchange rate",1.0,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",1,1.0,,1.06,0.0,-1.1,1,1,0.0,123.0,9.0,44293293.0,South America,Argentina,ARG,879400.0,979.0,China,Jiang Zemin,,Argentina,,2001-04-07,2001-04-09,Tour of Latin Americca,,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/,2001.0
35,3,ARG,Argentina,2004,0.0,,0.0,0.0,2.969,2.9233008189999996,,2.969,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Peso: 18th century-present, several ""types"" of pesos--peso fuerte, peso austral, etc.",AGXRXDE.,"Primary source is RR-GFD-IFS conversion labeled as official, but this is a market rate eop; alt1 series is IMF official average exchange rate; alt2 series is Pick's-RR official eop exchange rate; alt3 series is Pick's & Blue dollar parallel end-of-period exchange rate",1.0,"Domestic bond exchange (Phase 1), not targeted to foreign investors (Sturzenegger and Zettelmeyer 2006 and Appendix B Cruces and Trebesch 2012)",1,1.0,,1.06,0.0,4.4,1,1,0.0,122.0,9.0,44293293.0,South America,Argentina,ARG,879400.0,942.0,China,Hu Jintao,,Argentina,Buenos Aires,2004-11-16,2004-11-16,"Hu Jintao held talks with Argentine President Nestor Kirchner. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Nestor Kirchner",,http://www.chinavitae.com//vip/index.php?mode=show&id=2895,2004.0
46,3,ARG,Argentina,2014,0.0,,0.0,0.0,8.5402,8.075275993,,12.78,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Peso: 18th century-present, several ""types"" of pesos--peso fuerte, peso austral, etc.",AGXRXDE.,"Primary source is RR-GFD-IFS conversion labeled as official, but this is a market rate eop; alt1 series is IMF official average exchange rate; alt2 series is Pick's-RR official eop exchange rate; alt3 series is Pick's & Blue dollar parallel end-of-period exchange rate",0.0,,1,1.0,,1.06,0.0,,1,1,,121.0,9.0,44293293.0,South America,Argentina,ARG,879400.0,819.0,China,Xi Jinping,,Argentina,Buenos Aires,2014-07-18,2014-07-19,"Chinese president arrives in Argentina for state visit, China, Argentina upgrade ties to comprehensive strategic partnership, Chinese president calls for objective probe of MH17 crash, China, Argentina seek closer cooperation, Xi Jinping Receives Key to the City of Buenos Aires, Xi Jinping Visits Argentine Republic Farm, Xi expects more interactions between NPC, Argentine parliament, Chinese president visits Argentine farm, stressing agricultural cooperation, Chinese president sends messages of condolence to Malaysian, Dutch leaders","Xi Jinping, Cristina Fernandez de Kirchner, Xi Jinping, Cristina Fernandez de Kirchner, Xi Jinping, Mauricio Macri, Xi Jinping, JuliÃ¡n DomÃ­nguez, Xi Jinping, Amado Boudou, Xi Jinping, Julian Dominguez, Xi Jinping",http://news.xinhuanet.com/english/china/2014-07/19/c_133496224.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20262,2014.0
52,4,AUS,Australia,2003,0.0,,0.0,0.0,1.333333333,1.330494944,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century British monies, 1906-1966-Australia pound, 1966-present-Australia dollar",AUXRXDE.,Primary source is GFD-IFS official eop; alt1 series is GFD market eop exchange rate,0.0,,0,0.0,,0,0.0,2.7,1,0,0.0,767.0,137.0,23232413.0,Oceania,Australia,AUS,1189000.0,954.0,China,Hu Jintao,,Australia,Canberra,2003-10-22,2003-10-24,"Hu Jintao paid a courtesy call on Australian Governor-General Michael Jeffery., Hu Jintao met with Australian New South Wales Governor Marie Bashir and Premier Robert Carr., Hu Jintao met with Australian business leaders., Hu Jintao held talks with Australian Prime Minister John Winston Howard., Hu Jintao addressed the Federal Parliament of Australia.","Hu Jintao, Li Zhaoxing, Wang Gang, Michael Jeffery, Hu Jintao, Li Zhaoxing, Wang Gang, Marie Bashir, Robert Carr, Hu Jintao, Li Zhaoxing, Wang Gang, Hu Jintao, Li Zhaoxing, Wang Gang, John Winston Howard, Hu Jintao, Li Zhaoxing, Wang Gang",,http://www.chinavitae.com//vip/index.php?mode=show&id=1091,2003.0
61,4,AUS,Australia,2011,0.0,,0.0,0.0,0.984639622,0.97799511,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century British monies, 1906-1966-Australia pound, 1966-present-Australia dollar",AUXRXDE.,Primary source is GFD-IFS official eop; alt1 series is GFD market eop exchange rate,0.0,,0,0.0,,0,0.0,3.3,1,0,0.0,765.0,137.0,23232413.0,Oceania,Australia,AUS,1189000.0,857.0,China,Hu Jintao,,Australia,Canberra,2011-04-24,2011-04-24,Australian PM's visit to China will enhance trust and promote cooperation: Chinese Ambassador to Australia,"Hu Jintao, Wen Jiabao, Julia Gillard",http://news.xinhuanet.com/english2010/china/2011-04/24/c_13843438.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=10720,2011.0
115,8,BRA,Brazil,2001,0.0,,0.0,0.0,2.3204,2.3196,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1846-1942-milreis, 1942-1986-cruzeiro, 1986-1994-cruzado, 1994-present real",BRXRXDE.,Primary source is GFD market eop; alt1 series is IMF w correction pricipal eop exchange rate; alt2 series is RR-Pick's parallel eop; alt3 series is Pick's parallel eop,0.0,,0,0.0,,0,0.0,6.8,1,1,0.0,219.0,29.0,207353391.0,South America,Brazil,BRA,3081000.0,976.0,China,Jiang Zemin,,Brazil,,2001-04-11,2001-04-12,Tour of Latin Americca,,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/,2001.0
119,8,BRA,Brazil,2004,0.0,,0.0,0.0,2.6536,2.6536,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1846-1942-milreis, 1942-1986-cruzeiro, 1986-1994-cruzado, 1994-present real",BRXRXDE.,Primary source is GFD market eop; alt1 series is IMF w correction pricipal eop exchange rate; alt2 series is RR-Pick's parallel eop; alt3 series is Pick's parallel eop,0.0,,0,0.0,,0,0.0,6.6,1,0,0.0,218.0,29.0,207353391.0,South America,Brazil,BRA,3081000.0,943.0,China,Hu Jintao,,Brazil,Sao Paulo,2004-11-12,2004-11-15,"Hu Jintao addressed the National Congress of Brazil, before his speech, Hu met separately with leaders of both houses of parliament. 
, Hu Jintao held talks with Brazilian President Luiz Inacio Lula da Silva., Hu Jintao met with Rosinha Garotinho, Governor of the state of Rio de Janeiro. , Hu Jintao visited the space research institute of Brazil.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Luiz Inacio Lula da Silva, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Rosinha Garotinho, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang",,http://www.chinavitae.com//vip/index.php?mode=show&id=2885,2004.0
126,8,BRA,Brazil,2010,0.0,,0.0,0.0,1.6858,1.6858,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1846-1942-milreis, 1942-1986-cruzeiro, 1986-1994-cruzado, 1994-present real",BRXRXDE.,Primary source is GFD market eop; alt1 series is IMF w correction pricipal eop exchange rate; alt2 series is RR-Pick's parallel eop; alt3 series is Pick's parallel eop,0.0,,0,0.0,,0,0.0,5.0,1,0,0.0,217.0,29.0,207353391.0,South America,Brazil,BRA,3081000.0,867.0,China,Hu Jintao,,Brazil,Brasilia,2010-04-15,2010-04-15,"Hu Jintao attended the second summit meeting of BRIC (Brazil, Russia, India and China) leaders.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Luiz Inacio da Silva Lula, Dmitry Medvedev, Manmohan Singh",http://news.xinhuanet.com/english2010/china/2010-04/16/c_13253529.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8298,2010.0
137,9,CAN,Canada,2005,0.0,,0.0,0.0,1.1623,1.1645,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1766-1870-British pound sterling, 1870-present Canada dollar",CNXRXDE.,Primary source is GFD market eop; alt1 series is IMF market eop exchange rate,0.0,,0,0.0,,0,0.0,2.2,1,0,0.0,18.0,3.0,35623680.0,North America,Canada,CAN,1674000.0,927.0,China,Hu Jintao,,Canada,Vancouver,2005-09-16,2005-09-17,"Hu Jintao met with Premier of British Columbia Gordon Campbell., Hu Jintao met with Canadian Prime Minister Paul Martin.","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Gordon Campbell, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Paul Martin",,http://www.chinavitae.com//vip/index.php?mode=show&id=4102,2005.0
