,Unnamed: 0,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
0,0.0,920938.0,Oceania,Fiji,FJI,8374.0,809.0,China,Xi Jinping,,Fiji,Nadi,2014-11-21,2014-11-23,"China sees Fiji as friend, partner in Pacific island region: Xi, Chinese president pledges continued assistance to Fiji, China, Pacific island countries announce strategic partnership, Chinese president concludes visit to Fiji","Xi Jinping, Epeli Nailatikau, Xi Jinping, Josaia Voreqe Bainimarama, Xi Jinping",http://news.xinhuanet.com/english/china/2014-11/23/c_133807773.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=21177,2014.0
1,1.0,53950935.0,Africa,Tanzania,TZA,150600.0,117.0,USA,W. BUSH,,Tanzania,"Dar es Salaam, Arusha",2008-02-16,2008-02-19,"Met with President Kikwete, signed Millennium Challenge agreement.",,,,2008.0
2,1.0,53950935.0,Africa,Tanzania,TZA,150600.0,201.0,USA,OBAMA,,Tanzania,Dar es Salaam,2013-01-07,2013-02-07,"Met with President Jakaya Kikwete. Laid a wreath at the memorial to the 
1998 Embassy bombing.",,,,2013.0
3,1.0,53950935.0,Africa,Tanzania,TZA,150600.0,842.0,China,Xi Jinping,,Tanzania,Dares Salaam,2013-03-24,2013-03-25,"Xi Jinping on state visit meets with president of #Tanzania, President Xi meets with #Zanzibar's president #China, Xi Jinping speaks on #Africa policy, pledges assistance, #China, #Tanzania issue joint communique on boosting friendly cooperation","Xi Jinping, Jakaya Mrisho Kikwete, Xi Jinping, Ali Mohamed Shein, Xi Jinping, Jakaya Mrisho Kikwete, Xi Jinping, Jakaya Mrisho Kikwete",http://news.xinhuanet.com/english/china/2013-03/25/c_132260936.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=16742,2013.0
4,1.0,53950935.0,Africa,Tanzania,TZA,150600.0,880.0,China,Hu Jintao,,Tanzania,Dares Salaam,2009-02-15,2009-02-15,Hu Jintao met with Tanzanian President Jakaya Mrisho Kikwete and Zanzibar President Amani Abeid Karume.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Jakaya Mrisho Kikwete, Amani Abeid Karume",http://news.xinhuanet.com/english/2009-02/15/content_10822709.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7258,2009.0
5,2.0,603253.0,Africa,W. Sahara,ESH,906.5,,,,,,,,,,,,,
8,3.0,35623680.0,North America,Canada,CAN,1674000.0,58.0,USA,W. BUSH,,Canada,"Ottawa, Gatineau, Halifax",2004-11-30,2004-01-12,Met with Prime Minister Martin.,,,,2004.0
9,3.0,35623680.0,North America,Canada,CAN,1674000.0,106.0,USA,W. BUSH,,Canada,"Montebello, Quebec",2007-08-20,2007-08-21,"Attended North American Leadersâ Summit with Mexican President Calderon and 
Canadian Prime Minister Harper.",,,,2007.0
10,3.0,35623680.0,North America,Canada,CAN,1674000.0,141.0,USA,OBAMA,,Canada,Ottawa,2009-02-19,2009-02-19,Met with Prime Minister Harper.,,,,2009.0
12,3.0,35623680.0,North America,Canada,CAN,1674000.0,251.0,USA,OBAMA,,Canada,Ottawa,2016-06-29,2016-06-29,Attended the North American Leaders Summit.,,,,2016.0
