,Case,CC3,Country,Year,Banking Crisis ,Banking_Crisis_Notes,Systemic Crisis,Gold Standard,exch_usd,exch_usd_alt1,exch_usd_alt2,exch_usd_alt3,conversion_notes,national currency,exch_primary source code,exch_sources,Domestic_Debt_In_Default,Domestic_Debt_ Notes/Sources,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",Defaults_External_Notes,GDP_Weighted_default,<,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises,Unnamed: 0,Unnamed: 0.1,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
5,1,DZA,Algeria,2006,0,,0.00,0,71.1582,71.1582,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1830-1877-French coins, 1878-1964-Alegrian franc, 1964-present-dinar.",AAXRXDE.,Primary source is GFD-IFS official end-of-period exchange rate; alt1 series is IFS end-of-period exchange rate; alt2 series is pick's parallel end-of-period exchange rate; ,0,,0,0,,0,,2.300,1,0,0,354,82,40969443,Africa,Algeria,DZA,609400,610,Russia,Putin,,Algeria,,10.3.2006,,President Vladimir Putin made an official visit to the People's Democratic Republic of Algeria,,,http://en.kremlin.ru/events/president/trips/45584,2006
9,1,DZA,Algeria,2010,0,,0.00,0,74.9437,74.9437,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1830-1877-French coins, 1878-1964-Alegrian franc, 1964-present-dinar.",AAXRXDE.,Primary source is GFD-IFS official end-of-period exchange rate; alt1 series is IFS end-of-period exchange rate; alt2 series is pick's parallel end-of-period exchange rate; ,0,,0,0,,0,,3.900,1,0,0,353,82,40969443,Africa,Algeria,DZA,609400,481,Russia,Dmitry Medvedev,,Algeria,,6.10.2010,,Official visit to Algeria,,,http://en.kremlin.ru/events/president/trips/9167,2010
24,2,AGO,Angola,2009,0,,0.00,0,89.398,79.32816667,,78.003,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1693-1926-escudo Portugal, 1926-1958-angolar, 1958-1977- escudo Angola, 1977-present-kwanza",AOXRXDE.,Primary source is GFD-IFS official end-of-period exchange rate; alt1 series is IFS official average exchange rate; alt2 series is pick's parallel end-of-period exchange rate; alt3 series is RR-GFD market end-of-period exchange rate,0,,0,0,,0,,13.700,1,1,0,336,74,29310273,Africa,Angola,AGO,189000,527,Russia,Dmitry Medvedev,,Angola,,26.6.2009,,Dmitry Medvedev has made an official visit to Angola,,,http://en.kremlin.ru/events/president/trips/4897,2009
41,3,ARG,Argentina,2010,0,,0.00,0,3.969,3.896295154,,4.07,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Peso: 18th century-present, several ""types"" of pesos--peso fuerte, peso austral, etc.",AGXRXDE.,"Primary source is RR-GFD-IFS conversion labeled as official, but this is a market rate eop; alt1 series is IMF official average exchange rate; alt2 series is Pick's-RR official eop exchange rate; alt3 series is Pick's & Blue dollar parallel end-of-period exchange rate",0,,0,1,,0,0,10.461,1,0,0,119,9,44293293,South America,Argentina,ARG,879400,502,Russia,Dmitry Medvedev,,Argentina,,15.4.2010,,Dmitry Medvedev met with Russian and Argentine business community members,,,http://en.kremlin.ru/events/president/trips/7463,2010
45,3,ARG,Argentina,2014,0,,0.00,0,8.5402,8.075275993,,12.78,Series already adjusted for 100-to-1 conversion here; National currency per USD,"Peso: 18th century-present, several ""types"" of pesos--peso fuerte, peso austral, etc.",AGXRXDE.,"Primary source is RR-GFD-IFS conversion labeled as official, but this is a market rate eop; alt1 series is IMF official average exchange rate; alt2 series is Pick's-RR official eop exchange rate; alt3 series is Pick's & Blue dollar parallel end-of-period exchange rate",0,,1,1,,1.06,0,0.000,1,1,0,118,9,44293293,South America,Argentina,ARG,879400,403,Russia,Putin,,Argentina,,11.7.2014,,Interview to Prensa Latina and ITAR-TASS,,,http://en.kremlin.ru/events/president/trips/46238,2014
56,4,AUS,Australia,2007,0,,0.00,0,1.13430127,1.141943588,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century British monies, 1906-1966-Australia pound, 1966-present-Australia dollar",AUXRXDE.,Primary source is GFD-IFS official eop; alt1 series is GFD market eop exchange rate,0,,0,0,,0,0,2.300,1,0,0,762,137,23232413,Oceania,Australia,AUS,1189000,574,Russia,Putin,,Australia,,7.9.2007,,During his official visit to Australia Vladimir Putin met with Australian Prime Minister John Howard,,,http://en.kremlin.ru/events/president/trips/45730,2007
64,4,AUS,Australia,2014,0,,0.00,0,1.22,1.224289912,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century British monies, 1906-1966-Australia pound, 1966-present-Australia dollar",AUXRXDE.,Primary source is GFD-IFS official eop; alt1 series is GFD market eop exchange rate,0,,0,0,,0,0,2.500,1,1,0,761,137,23232413,Oceania,Australia,AUS,1189000,393,Russia,Putin,,Australia,,14.11.2014,,Interview to TASS News Agency,,,http://en.kremlin.ru/events/president/trips/47028,2014
67,5,AUT,Austria,2001,0,,0.00,0,1.13,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",OEY..DE.,Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0,,0,0,,0,0,2.300,1,0,0,604,114,8754413,Europe,Austria,AUT,416600,726,Russia,Putin,,Austria,,8.2.2001,,President Vladimir Putin had negotiations with Austria's President Thomas Klestil,,,http://en.kremlin.ru/events/president/trips/45705,2001
70,5,AUT,Austria,2004,0,,0.00,0,0.73,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",OEY..DE.,Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0,,0,0,,0,0,2.000,1,0,0,603,114,8754413,Europe,Austria,AUT,416600,653,Russia,Putin,,Austria,,10.7.2004,,"Vladimir Putin arrived in Vienna, where the state funeral of the Federal President of the Austrian Republic Thomas Klestil was held",,,http://en.kremlin.ru/events/president/trips/45513,2004
80,5,AUT,Austria,2014,0,,0.00,0,0.82,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",OEY..DE.,Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0,,0,0,,0,0,1.500,1,0,0,602,114,8754413,Europe,Austria,AUT,416600,407,Russia,Putin,,Austria,,24.6.2014,,Russian-Austrian talks,,,http://en.kremlin.ru/events/president/trips/46066,2014
83,6,BEL,Belgium,2001,0,,0.00,0,1.13,1.1231,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1832-1925-Belgian franc, 1926-45-belga,1945-1998 Belgian franc, 1999-present euro",BGOCFEXA,Primary source is GFD_RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop,0,,0,0,,0,0,2.400,1,0,0,724,129,11491346,Europe,Belgium,BEL,508600,709,Russia,Putin,,Belgium,,1.10.2001,,"President Putin arrived in Brussels and met with Guy Verhofstadt, head of the Belgian Government",,,http://en.kremlin.ru/events/president/trips/45713,2001
87,6,BEL,Belgium,2005,0,,0.00,0,0.85,0.844,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1832-1925-Belgian franc, 1926-45-belga,1945-1998 Belgian franc, 1999-present euro",BGOCFEXA,Primary source is GFD_RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop,0,,0,0,,0,0,2.500,1,1,0,721,129,11491346,Europe,Belgium,BEL,508600,623,Russia,Putin,,Belgium,,3.10.2005,,President Vladimir Putin made a official visit to the Kingdom of Belgium,,,http://en.kremlin.ru/events/president/trips/45566,2005
92,6,BEL,Belgium,2010,1,,1.00,0,0.75,0.7473,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1832-1925-Belgian franc, 1926-45-belga,1945-1998 Belgian franc, 1999-present euro",BGOCFEXA,Primary source is GFD_RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is RR-Pick's official eop; alt3 series is RR-Pick's parallel eop,0,,0,0,,0,0,2.300,1,0,0,719,129,11491346,Europe,Belgium,BEL,508600,469,Russia,Dmitry Medvedev,,Belgium,,8.12.2010,,Visit to Belgium,,,http://en.kremlin.ru/events/president/trips/9741,2010
