,pop_est,continent,name,iso_a3,gdp_md_est
0,920938,Oceania,Fiji,FJI,8374
1,53950935,Africa,Tanzania,TZA,150600
2,603253,Africa,W. Sahara,ESH,906.5
3,35623680,North America,Canada,CAN,1674000
4,326625791,North America,United States of America,USA,18560000
5,18556698,Asia,Kazakhstan,KAZ,460700
6,29748859,Asia,Uzbekistan,UZB,202300
7,6909701,Oceania,Papua New Guinea,PNG,28020
8,260580739,Asia,Indonesia,IDN,3028000
9,44293293,South America,Argentina,ARG,879400
10,17789267,South America,Chile,CHL,436100
11,83301151,Africa,Dem. Rep. Congo,COD,66010
12,7531386,Africa,Somalia,SOM,4719
13,47615739,Africa,Kenya,KEN,152700
14,37345935,Africa,Sudan,SDN,176300
15,12075985,Africa,Chad,TCD,30590
16,10646714,North America,Haiti,HTI,19340
17,10734247,North America,Dominican Rep.,DOM,161900
18,142257519,Europe,Russia,RUS,3745000
19,329988,North America,Bahamas,BHS,9066
20,2931,South America,Falkland Is.,FLK,281.8
21,5320045,Europe,Norway,-99,364700
22,57713,North America,Greenland,GRL,2173
23,140,Seven seas (open ocean),Fr. S. Antarctic Lands,ATF,16
24,1291358,Asia,Timor-Leste,TLS,4975
25,54841552,Africa,South Africa,ZAF,739100
26,1958042,Africa,Lesotho,LSO,6019
27,124574795,North America,Mexico,MEX,2307000
28,3360148,South America,Uruguay,URY,73250
29,207353391,South America,Brazil,BRA,3081000
30,11138234,South America,Bolivia,BOL,78350
31,31036656,South America,Peru,PER,410400
32,47698524,South America,Colombia,COL,688000
33,3753142,North America,Panama,PAN,93120
34,4930258,North America,Costa Rica,CRI,79260
35,6025951,North America,Nicaragua,NIC,33550
36,9038741,North America,Honduras,HND,43190
37,6172011,North America,El Salvador,SLV,54790
38,15460732,North America,Guatemala,GTM,131800
39,360346,North America,Belize,BLZ,3088
40,31304016,South America,Venezuela,VEN,468600
41,737718,South America,Guyana,GUY,6093
42,591919,South America,Suriname,SUR,8547
43,67106161,Europe,France,-99,2699000
44,16290913,South America,Ecuador,ECU,182400
45,3351827,North America,Puerto Rico,PRI,131000
46,2990561,North America,Jamaica,JAM,25390
47,11147407,North America,Cuba,CUB,132900
48,13805084,Africa,Zimbabwe,ZWE,28330
49,2214858,Africa,Botswana,BWA,35900
50,2484780,Africa,Namibia,NAM,25990
51,14668522,Africa,Senegal,SEN,39720
52,17885245,Africa,Mali,MLI,38090
53,3758571,Africa,Mauritania,MRT,16710
54,11038805,Africa,Benin,BEN,24310
