Rank,name,US$
1,Liechtenstein,"166,022"
2,Monaco,"165,421"
3,Luxembourg,"106,806"
0,Bermuda,"102,192"
0,Macau,"80,893"
4,Switzerland,"80,101"
5,Norway,"75,295"
6,Iceland,"73,060"
7,Ireland,"69,604"
0,Cayman Islands,"65,472"
8,Qatar,"63,506"
9,United States of America,"60,055"
10,Australia,"57,613"
11,Denmark,"57,533"
12,Singapore,"56,737"
13,Sweden,"54,043"
14,San Marino,"50,588"
0,Greenland,"49,398"
15,Netherlands,"48,754"
16,Austria,"47,718"
0,Hong Kong,"46,390"
17,Finland,"45,670"
18,Germany,"44,976"
19,Canada,"44,974"
20,Belgium,"43,289"
21,New Zealand,"42,936"
22,Israel,"42,452"
23,United Arab Emirates,"40,699"
24,United Kingdom,"39,758"
25,Andorra,"39,153"
26,France,"38,415"
27,Japan,"38,220"
0,New Caledonia,"35,815"
28,Italy,"32,747"
0," Virgin Islands, British","31,917"
29,South Korea,"30,025"
30," Bahamas, The","29,825"
31,Malta,"29,137"
32,Kuwait,"28,897"
0,Turks and Caicos Islands,"28,689"
0,Puerto Rico,"28,451"
33,Spain,"28,354"
34,Brunei,"28,291"
0,Europe,"27,222"
0,Americas,"26,748"
35,Cyprus,"25,790"
0,Aruba,"25,655"
36,Bahrain,"23,688"
37,Slovenia,"23,296"
38,Saudi Arabia,"20,761"
39,Czech Republic,"20,326"
0,French Polynesia,"19,807"
40,Estonia,"19,793"
0,Curaçao,"19,586"
41,Portugal,"18,882"
0,Anguilla,"18,861"
42,Greece,"18,198"
0,Cook Islands,"17,798"
43,Slovakia,"17,552"
44,Uruguay,"17,120"
45,Saint Kitts and Nevis,"16,818"
46,Barbados,"16,494"
47,Lithuania,"16,450"
48,Trinidad and Tobago,"16,145"
49,Seychelles,"15,693"
50,Latvia,"15,625"
51,Chile,"15,347"
52,Oman,"15,267"
53,Panama,"15,088"
54,Antigua and Barbuda,"14,803"
55,Argentina,"14,400"
56,Hungary,"14,376"
57,Poland,"13,786"
58,Palau,"13,417"
59,Croatia,"13,177"
60,Costa Rica,"11,734"
61,Maldives,"11,151"
62,Russia,"10,956"
63,Romania,"10,763"
0,World,"10,665"
64,Mauritius,"10,565"
65,Turkey,"10,546"
66,Grenada,"10,451"
67,Nauru,"10,045"
68,Malaysia,"9,951"
69,Equatorial Guinea,"9,850"
70,Brazil,"9,821"
71,Saint Lucia,"9,607"
0,South America,"9,393"
72,Mexico,"8,967"
73,Lebanon,"8,778"
74,Kazakhstan,"8,756"
75,China,"8,682"
76,Cuba,"8,433"
77,Bulgaria,"8,218"
–,Central America,"7,990"
78,Venezuela,"7,977"
79,Botswana,"7,596"
80,Gabon,"7,221"
81,Dominican Rep.,"7,052"
82,Saint Vincent and the Grenadines,"6,980"
83,Montenegro,"6,958"
84,Suriname,"6,757"
85,Dominica,"6,719"
86,Thailand,"6,595"
87,Turkmenistan,"6,585"
88,Peru,"6,572"
89,Colombia,"6,302"
90,Ecuador,"6,273"
91,South Africa,"6,151"
92,Serbia,"5,912"
93,Belarus,"5,750"
94,Iran,"5,680"
95,North Macedonia,"5,415"
96,Fiji,"5,382"
